City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,25.91,80,89,0.45,US,1724858868
1,arraial do cabo,-22.9661,-42.0278,23.98,46,20,4.12,BR,1724858791
2,margaret river,-33.95,115.0667,17.34,85,100,11.21,AU,1724858791
3,hermanus,-34.4187,19.2345,9.89,56,93,6.74,ZA,1724859064
4,longyearbyen,78.2186,15.6401,7.91,61,0,5.14,SJ,1724858877
5,igarapava,-20.0383,-47.7469,31.12,27,1,3.5,BR,1724858825
6,escanaba,45.7453,-87.0646,17.98,88,100,5.14,US,1724858971
7,edinburgh of the seven seas,-37.0676,-12.3116,13.82,86,100,17.78,SH,1724858807
8,mianyang,31.4593,104.7542,27.55,83,94,2.52,CN,1724859070
9,stanley,54.868,-1.6985,20.1,70,20,3.6,GB,1724859071
10,iqaluit,63.7506,-68.5145,7.85,70,75,11.83,CA,1724858880
11,udachny,66.4167,112.4,7.84,71,99,1.7,RU,1724858798
12,sumbawa besar,-8.5,117.4333,21.72,78,81,1.51,ID,1724859074
13,gunjur,13.2019,-16.7339,33.04,66,75,7.72,GM,1724859075
14,bilibino,68.0546,166.4372,0.41,88,100,2.61,RU,1724858792
15,coffeyville,37.0373,-95.6164,31.16,61,0,3.09,US,1724858893
16,puerto natales,-51.7236,-72.4875,6.25,61,40,4.12,CL,1724858911
17,pisco,-13.7,-76.2167,17.23,82,100,3.09,PE,1724859080
18,port-aux-francais,-49.35,70.2167,5.03,90,100,6.64,TF,1724858811
19,atamanovka,51.93,113.63,11.24,49,83,0.32,RU,1724859094
20,invercargill,-46.4,168.35,10.57,93,14,3.58,NZ,1724858892
21,prince albert,53.2001,-105.7677,16.97,72,75,4.12,CA,1724859096
22,ushuaia,-54.8,-68.3,3.81,81,40,10.8,AR,1724859097
23,port lincoln,-34.7333,135.8667,13.62,64,71,5.15,AU,1724859098
24,merizo village,13.2658,144.6691,29.31,87,100,7.09,GU,1724859099
25,el granada,37.5027,-122.4694,20.06,74,20,2.57,US,1724859101
26,waitangi,-43.9535,-176.5597,11.57,97,32,1.79,NZ,1724858845
27,flying fish cove,-10.4217,105.6791,24.82,83,75,5.66,CX,1724859103
28,guadalupe,25.6833,-100.25,27.9,74,75,0.0,MX,1724859061
29,adamstown,-25.066,-130.1015,18.54,66,100,1.71,PN,1724858789
30,kodiak,57.79,-152.4072,8.73,93,100,0.0,US,1724859106
31,bereznik,62.8551,42.7072,15.62,52,77,2.35,RU,1724859108
32,new norfolk,-42.7826,147.0587,7.73,97,100,4.9,AU,1724859112
33,ilulissat,69.2167,-51.1,4.48,64,100,2.69,GL,1724858818
34,idri,27.5,13.2667,39.35,13,2,0.86,LY,1724859114
35,grytviken,-54.2811,-36.5092,3.86,88,100,2.26,GS,1724858773
36,kijang,35.2442,129.2139,24.85,88,88,7.73,KR,1724859116
37,blackmans bay,-43.0167,147.3167,8.07,83,85,1.79,AU,1724858797
38,wailua homesteads,22.0669,-159.378,21.53,95,19,0.45,US,1724858790
39,fort mcmurray,56.7268,-111.381,15.77,88,100,1.54,CA,1724859120
40,argo,37.6333,22.7333,28.87,41,85,3.07,GR,1724859122
41,nadi,-17.8,177.4167,17.0,82,20,1.03,FJ,1724858984
42,sao vicente,-23.9631,-46.3919,20.98,52,20,4.12,BR,1724858875
43,weno,7.4515,151.8468,26.97,94,100,1.54,FM,1724858917
44,alice springs,-23.7,133.8833,17.75,45,3,3.09,AU,1724858844
45,atafu village,-8.5421,-172.5159,28.14,76,9,7.39,TK,1724859129
46,sola,-13.8833,167.55,25.1,70,100,9.99,VU,1724859130
47,linhares,-19.3911,-40.0722,24.73,55,77,4.78,BR,1724859131
48,magadan,59.5667,150.8,7.55,68,47,3.78,RU,1724859133
49,dwarka,22.2394,68.9678,26.15,95,100,18.56,IN,1724859134
50,nar'yan-mar,67.6713,53.087,12.71,69,88,7.37,RU,1724858778
51,bethel,41.3712,-73.414,29.95,69,0,2.06,US,1724858787
52,markaz-e hukumat-e darweshan,31.1323,64.1934,33.33,7,0,2.17,AF,1724859137
53,ola,59.5833,151.2833,7.85,65,53,4.48,RU,1724858821
54,san luis de la loma,17.2706,-100.8939,29.86,69,80,2.38,MX,1724859139
55,yellowknife,62.456,-114.3525,14.67,90,75,4.63,CA,1724858853
56,hadibu,12.65,54.0333,27.56,74,72,7.55,YE,1724859142
57,bredasdorp,-34.5322,20.0403,8.02,52,96,5.72,ZA,1724859143
58,nova sintra,14.8667,-24.7167,27.12,80,51,3.04,CV,1724858831
59,kavieng,-2.5744,150.7967,27.85,81,97,5.51,PG,1724859145
60,port mathurin,-19.6833,63.4167,21.58,73,80,12.82,MU,1724858815
61,georgetown,5.4112,100.3354,27.96,91,40,1.54,MY,1724859094
62,ostersund,63.1792,14.6357,20.9,58,0,1.54,SE,1724859149
63,port macquarie,-31.4333,152.9167,18.01,49,83,1.97,AU,1724858817
64,vadso,70.0744,29.7487,14.09,62,75,1.54,NO,1724859151
65,west island,-12.1568,96.8225,26.99,74,100,5.66,CC,1724859152
66,cannonvale,-20.2833,148.7,20.66,90,10,2.92,AU,1724859153
67,arteche,12.2645,125.4048,25.73,89,100,0.91,PH,1724859156
68,penzance,50.1186,-5.5371,19.38,82,40,5.66,GB,1724859157
69,bodo,67.28,14.405,13.3,93,75,9.26,NO,1724859158
70,alotau,-10.3069,150.4462,22.98,95,19,1.79,PG,1724859159
71,george town,5.4112,100.3354,27.96,91,40,1.54,MY,1724859160
72,atar,20.5169,-13.0499,42.89,13,99,7.53,MR,1724859162
73,enewetak,11.3474,162.3373,28.45,78,99,6.11,MH,1724859163
74,suntar,62.1444,117.6319,8.91,68,100,2.04,RU,1724859034
75,ibimirim,-8.5406,-37.6903,31.81,24,8,8.73,BR,1724859165
76,dul'durga,50.6761,113.5931,17.78,45,100,4.04,RU,1724859166
77,nikolayevsk-on-amure,53.1406,140.73,16.13,92,24,1.94,RU,1724859167
78,sinan,34.8262,126.1086,25.25,78,0,5.35,KR,1724859170
79,hasaki,35.7333,140.8333,26.48,84,100,2.29,JP,1724859171
80,haiku-pauwela,20.9219,-156.3051,22.36,91,75,5.14,US,1724859172
81,college,64.8569,-147.8028,9.39,91,75,0.0,US,1724859173
82,zeribet el oued,34.6828,6.5111,35.97,24,33,1.6,DZ,1724859174
83,celendin,-6.8703,-78.1517,18.02,40,11,1.66,PE,1724859176
84,dali,25.7,100.1833,19.26,81,59,0.43,CN,1724859177
85,akureyri,65.6835,-18.0878,6.96,93,100,5.66,IS,1724858922
86,shingu,33.7333,135.9833,25.42,90,100,2.29,JP,1724859179
87,isafjordur,66.0755,-23.124,7.02,87,20,5.66,IS,1724858806
88,kerikeri,-35.2268,173.9474,10.51,93,100,2.61,NZ,1724859181
89,anadyr,64.75,177.4833,10.28,71,0,1.0,RU,1724858886
90,port elizabeth,-33.918,25.5701,11.16,65,20,12.35,ZA,1724859149
91,yanam,16.7333,82.2167,24.68,95,100,1.64,IN,1724859185
92,tambopata,-12.7333,-69.1833,25.94,65,0,2.57,PE,1724859186
93,tubarjal,30.4999,38.216,34.33,12,3,5.51,SA,1724859187
94,tervel,43.75,27.4,20.76,75,77,6.59,BG,1724859188
95,ordynskoye,54.3656,81.8994,13.12,84,77,1.4,RU,1724859190
96,kintampo,8.0563,-1.7306,28.49,65,99,2.65,GH,1724859191
97,tazacorte,28.629,-17.9293,25.08,77,75,7.2,ES,1724859192
98,kapa'a,22.0752,-159.319,22.28,81,21,4.17,US,1724859193
99,trail,49.0998,-117.7022,12.6,63,100,0.13,CA,1724859162
100,touros,-5.1989,-35.4608,28.37,62,28,8.51,BR,1724859195
101,illizi,26.4833,8.4667,40.82,10,2,5.36,DZ,1724859197
102,nemuro,43.3236,145.575,17.25,100,100,1.62,JP,1724859198
103,utrik,11.2278,169.8474,28.22,77,64,5.53,MH,1724859199
104,yuanping,38.7153,112.7575,16.7,67,29,0.53,CN,1724859200
105,igrim,63.1906,64.4162,15.02,85,100,2.65,RU,1724859201
106,daru,-9.0763,143.2092,25.23,75,68,5.23,PG,1724859202
107,richfield,44.8833,-93.283,19.64,91,100,3.6,US,1724859203
108,pederneiras,-22.3517,-48.775,24.88,24,14,1.01,BR,1724859003
109,cabo san lucas,22.8909,-109.9124,31.17,58,0,1.03,MX,1724859036
110,hamilton,39.1834,-84.5333,32.02,60,0,3.6,US,1724858481
111,labrador city,52.9463,-66.9114,10.95,71,100,8.23,CA,1724859013
112,tiksi,71.6872,128.8694,1.39,90,60,3.36,RU,1724859209
113,kamensk-ural'skiy,56.4185,61.9329,18.24,83,63,4.82,RU,1724859210
114,thompson,55.7435,-97.8558,16.09,63,40,3.6,CA,1724858835
115,sitka,57.0531,-135.33,14.94,88,100,6.17,US,1724859213
116,taloda,21.5667,74.2167,25.39,90,70,4.49,IN,1724859214
117,vorgashor,67.5833,63.95,11.98,67,99,2.6,RU,1724859215
118,ribeira grande,38.5167,-28.7,27.22,57,20,4.63,PT,1724859216
119,olonkinbyen,70.9221,-8.7187,4.9,87,52,4.06,SJ,1724859218
120,wewak,-3.5534,143.6268,26.1,88,36,3.34,PG,1724859219
121,bahia de kino,28.8333,-111.9333,32.02,61,3,2.97,MX,1724859220
122,hawaiian paradise park,19.5933,-154.9731,22.72,99,100,2.57,US,1724858867
123,ta`u,-14.2336,-169.5144,25.38,83,29,4.0,AS,1724859222
124,coquimbo,-29.9533,-71.3436,13.85,82,100,1.54,CL,1724859130
125,sandnessjoen,66.0217,12.6316,15.23,82,75,7.2,NO,1724858946
126,morehead city,34.7229,-76.726,31.7,70,0,3.6,US,1724859226
127,gbarnga,6.9956,-9.4722,21.78,100,100,1.13,LR,1724859227
128,markovo,57.3206,107.0881,11.89,97,92,1.16,RU,1724859229
129,gamba,-2.65,10.0,23.86,83,100,3.88,GA,1724859230
130,quatre cocos,-20.2078,57.7625,21.16,66,84,9.35,MU,1724859232
131,najran,17.4924,44.1277,29.99,33,94,5.37,SA,1724859233
132,bude,50.8243,-4.5413,18.23,81,61,2.24,GB,1724859172
133,eten,-6.9081,-79.8642,17.14,82,100,3.09,PE,1724859235
134,papatowai,-46.5619,169.4708,7.99,84,3,2.87,NZ,1724858866
135,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,82,0,4.0,RU,1724859237
136,la passe,45.5549,-0.8967,23.54,63,59,4.17,FR,1724859239
137,ulladulla,-35.35,150.4667,13.82,43,65,3.04,AU,1724859240
138,turaif,31.6725,38.6637,35.14,9,0,6.17,SA,1724859241
139,east london,-33.0153,27.9116,13.52,58,0,11.83,ZA,1724859242
140,aasiaat,68.7098,-52.8699,3.01,79,100,2.98,GL,1724858980
141,kouango,4.9934,19.9619,23.45,87,100,0.29,CF,1724859244
142,qaqortoq,60.7167,-46.0333,10.1,84,100,3.17,GL,1724859246
143,lihue,21.9789,-159.3672,21.87,95,19,3.89,US,1724859212
144,genhe,50.7833,121.5167,11.58,68,75,1.15,CN,1724859248
145,saint-joseph,-21.3667,55.6167,21.21,73,48,6.58,RE,1724859249
146,ust-nera,64.5667,143.2,4.0,93,100,2.62,RU,1724859250
147,karimpur,23.9667,88.6167,28.07,81,42,2.34,IN,1724859252
148,mishkino,55.3389,63.9175,17.75,83,33,4.0,RU,1724859253
149,sisimiut,66.9395,-53.6735,6.72,87,100,2.09,GL,1724859254
150,bouake,7.6895,-5.0218,26.06,83,75,4.12,CI,1724859255
151,emerald,-23.5333,148.1667,15.75,78,65,2.29,AU,1724859256
152,tchibanga,-2.85,11.0333,26.17,66,100,3.86,GA,1724859258
153,ambon,-3.6954,128.1814,25.49,95,75,1.54,ID,1724859259
154,flin flon,54.7682,-101.865,16.91,72,75,5.14,CA,1724859260
155,doka,13.5167,35.7667,23.31,87,99,1.86,SD,1724859261
156,beloyarskiy,63.7119,66.6722,15.07,86,100,0.79,RU,1724859262
157,gadzhiyevo,69.2551,33.3362,13.64,66,100,2.68,RU,1724859263
158,pader palwo,2.8006,33.135,23.51,71,58,1.36,UG,1724859264
159,afaahiti,-17.75,-149.2833,23.98,78,41,4.22,PF,1724859266
160,murun-kuren,49.6342,100.1625,14.07,51,2,1.94,MN,1724859267
161,puerto deseado,-47.7503,-65.8938,10.12,45,73,10.94,AR,1724859268
162,punta arenas,-53.15,-70.9167,4.06,81,40,15.43,CL,1724859095
163,cromer,52.9312,1.2989,28.79,59,100,5.41,GB,1724859270
164,susuman,62.7833,148.1667,3.05,76,99,1.48,RU,1724859271
165,mobara,35.4167,140.3,25.19,88,100,1.32,JP,1724859273
166,raja,8.4596,25.678,23.84,92,57,1.87,SS,1724859274
167,lalibela,12.0333,39.0333,15.37,92,98,0.73,ET,1724859275
168,mejit,10.2753,170.8646,27.9,77,98,4.69,MH,1724859276
169,dauphin,51.1494,-100.0502,15.08,82,0,2.06,CA,1724859211
170,kwekwe,-18.9281,29.8149,25.14,14,0,1.84,ZW,1724859279
171,alofi,-19.0595,-169.9187,19.94,83,20,2.06,NU,1724859280
172,thunder bay,48.4001,-89.3168,17.95,59,75,7.72,CA,1724859059
173,vallo della lucania,40.2297,15.2658,27.46,54,79,2.38,IT,1724859282
174,mount isa,-20.7333,139.5,13.87,54,100,0.0,AU,1724859283
175,hobyo,5.3505,48.5268,25.96,82,6,10.05,SO,1724859284
176,safford,32.834,-109.7076,21.51,78,100,2.06,US,1724859286
177,verdal,63.7933,11.4817,18.85,74,25,2.94,NO,1724859287
178,jamestown,42.097,-79.2353,28.34,70,40,5.66,US,1724859288
179,pak phanang,8.3511,100.202,24.85,88,100,2.39,TH,1724859289
180,zhoucun,36.8167,117.8167,20.76,86,47,0.99,CN,1724859290
181,yigo village,13.5361,144.8886,29.16,80,100,8.75,GU,1724859291
182,hithadhoo,-0.6,73.0833,28.69,74,96,4.26,MV,1724859293
183,taoudenni,22.6783,-3.9836,46.23,8,33,2.04,ML,1724859294
184,miracema do tocantins,-9.5618,-48.3967,37.43,17,79,3.91,BR,1724859295
185,karratha,-20.7377,116.8463,24.25,42,33,4.3,AU,1724859286
186,howrah,22.5892,88.3103,30.0,79,40,1.54,IN,1724859297
187,puerto madero,14.7208,-92.4215,28.11,83,20,2.57,MX,1724859298
188,dalbandin,28.8947,64.4101,36.01,8,3,1.68,PK,1724859300
189,tongchuanshi,35.0806,109.0897,21.86,62,40,2.59,CN,1724859301
190,susangerd,31.5608,48.1831,45.06,8,0,10.14,IR,1724858891
191,faya-largeau,17.9257,19.1043,35.94,51,20,5.14,TD,1724859303
